Parameters:	Population: 100	Number of Generations: 1000	Mutation Rate 4%
Generation,Fitness
138,9.92319e-06
139,9.93242e-06
140,1.00355e-05
141,1.04575e-05
142,1.04575e-05
143,1.01777e-05
144,9.96292e-06
145,9.96292e-06
146,9.96292e-06
147,1.09166e-05
148,9.96292e-06
149,1.10225e-05
150,1.04832e-05
151,1.04832e-05
152,1.04832e-05
153,1.09457e-05
154,1.09457e-05
155,1.09457e-05
156,1.09457e-05
157,1.05804e-05
158,1.05653e-05
159,1.06842e-05
160,1.05166e-05
161,1.04478e-05
162,9.7482e-06
163,9.96713e-06
164,1.0192e-05
165,9.84545e-06
166,9.84545e-06
167,9.84545e-06
168,1.00939e-05
169,1.08317e-05
170,1.08317e-05
171,1.00939e-05
172,9.84374e-06
173,9.51568e-06
174,9.28413e-06
175,9.11955e-06
176,1.00259e-05
177,1.01367e-05
178,9.65983e-06
179,9.72406e-06
180,9.55238e-06
181,9.55238e-06
182,9.62409e-06
183,9.45998e-06
184,9.45998e-06
185,9.98988e-06
186,1.06314e-05
187,1.06314e-05
188,1.06314e-05
189,9.8346e-06
190,1.04076e-05
191,1.04076e-05
192,1.01752e-05
193,1.0014e-05
194,1.0014e-05
195,9.97951e-06
196,1.03145e-05
197,1.03145e-05
198,1.07289e-05
199,1.07289e-05
200,1.10114e-05
201,1.07289e-05
202,1.0596e-05
203,1.0596e-05
204,1.04116e-05
205,1.07649e-05
206,1.07649e-05
207,1.12259e-05
208,1.12259e-05
209,1.12259e-05
210,1.11598e-05
211,1.11598e-05
212,1.00054e-05
213,1.02363e-05
214,1.02363e-05
215,1.04595e-05
216,1.00611e-05
217,9.93914e-06
218,9.93914e-06
219,9.8815e-06
220,9.8815e-06
221,1.05099e-05
222,1.05099e-05
223,1.04127e-05
224,1.04127e-05
225,1.04127e-05
226,1.18061e-05
227,1.30028e-05
228,1.3145e-05
229,1.3145e-05
230,1.15182e-05
231,1.12441e-05
232,1.17853e-05
233,1.1598e-05
234,1.16389e-05
235,1.11602e-05
236,1.03504e-05
237,1.05718e-05
238,1.05948e-05
239,1.04509e-05
240,1.04509e-05
241,9.39461e-06
242,1.05138e-05
243,1.05138e-05
244,1.05138e-05
245,1.05138e-05
246,1.05138e-05
247,1.0366e-05
248,9.73305e-06
249,9.82834e-06
250,1.01324e-05
251,1.01859e-05
